Product Name;Product Price;Product Old Price;Product Discount;Product Rating;Product Reviews;Product Link;Product Image
Mini Pompe Air avec ballon cadeau;38.00 TND;39.00 TND;3%;;;https://jumia.com.tn/sans-marque-mini-pompe-air-avec-ballon-cadeau-834317.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/3438/1.jpg?7666
Elops ANTIVOL VELO 300 CODE;39.00 TND;;;;;https://jumia.com.tn/elops-antivol-velo-300-code-832926.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/9238/1.jpg?8640
Mini Pompe Air avec ballon rouge bleu cadeau;38.00 TND;39.00 TND;3%;;;https://jumia.com.tn/sans-marque-mini-pompe-air-avec-ballon-rouge-bleu-cadeau-834425.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/4438/1.jpg?7227
Borofone Support téléphone vélo et moto - BH15  Le tour -  Anti Vibration;19.90 TND;33.00 TND;40%;3.8;30;https://jumia.com.tn/support-telephone-velo-et-moto-bh15-le-tour-anti-vibration-borofone-mpg13365.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/2334/1.jpg?1898
Cadenas alarme - Avec Sirène de sécurité pour la maison, bureau, moto et vélo;25.00 TND;;;3.2;5;https://jumia.com.tn/cadenas-alarme-avec-sirene-de-securite-pour-la-maison-bureau-moto-et-velo-sans-marque-mpg29184.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/5992/1.jpg?5128
Generic Support de fixation pour moto/vélo, support de téléphone;49.50 TND;99.00 TND;50%;;;https://jumia.com.tn/generic-support-de-fixation-pour-motovelo-support-de-telephone-805634.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/6508/1.jpg?0314
White Lumière avertissant rouge et blanc pour vélo;24.00 TND;29.00 TND;17%;;;https://jumia.com.tn/white-lumiere-avertissant-rouge-et-blanc-pour-velo-806563.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/5608/1.jpg?5467
Suspension Moderne forme Vélo - Noir  68 X 44 Cm;110.00 TND;;;4.4;5;https://jumia.com.tn/sans-marque-suspension-moderne-forme-velo-noir-68-x-44-cm-86067.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/068/1.jpg?5098
Imperial Sac à dos Velo GM - 41 x 29x 18cm - rose imprimé;35.00 TND;;;5;1;https://jumia.com.tn/imperial-sac-a-dos-velo-gm-41-x-29x-18cm-rose-imprime-598542.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/5895/1.jpg?3288
Miracle Bicycle : Support universel de vélo et moto pour smartphone;69.00 TND;85.00 TND;19%;;;https://jumia.com.tn/baseus-miracle-bicycle-support-universel-de-velo-et-moto-pour-smartphone-711579.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/5117/1.jpg?8807
ROCKRIDER Casque Vélo Vtt Expl 500 Noir;179.00 TND;;;;;https://jumia.com.tn/rockrider-casque-velo-vtt-expl-500-noir-814116.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/1418/1.jpg?9406
Generic Cadenas Antivol Vélo - Fer à cheval - 2 clé - 200x250 mm;36.00 TND;45.00 TND;20%;;;https://jumia.com.tn/generic-cadenas-antivol-velo-fer-a-cheval-2-cle-200x250-mm-822696.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/6228/1.jpg?5288
Rodeo Vélo Enfant Lamborghini - 16 Pouces;450.00 TND;;;;;https://jumia.com.tn/rodeo-velo-enfant-lamborghini-16-pouces-718235.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/2817/1.jpg?8098
Zizou land Réveil - Vélo - horloge - décoration de bureau pour la maison - Jaune;29.00 TND;;;5;1;https://jumia.com.tn/zizou-land-reveil-velo-horloge-decoration-de-bureau-pour-la-maison-jaune-668241.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/2866/1.jpg?0122
Spin Master Tech Deck /Pack 1 vélo BMX - assortiment - 6028602;69.00 TND;;;;;https://jumia.com.tn/spin-master-tech-deck-pack-1-velo-bmx-assortiment-6028602-772860.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/8277/1.jpg?7786
Zizou land Réveil - Vélo - horloge - décoration de bureau pour la maison - Bleu;29.00 TND;;;5;1;https://jumia.com.tn/zizou-land-reveil-velo-horloge-decoration-de-bureau-pour-la-maison-bleu-668240.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/2866/1.jpg?0119
Rozenbal Rozenbal Brosse Textile Velour Avec Sys;12.00 TND;14.62 TND;18%;3.1;9;https://jumia.com.tn/rozenbal-rozenbal-brosse-textile-velour-avec-sys-413811.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/8314/1.jpg?3638
Generic Support de fixation pour moto/vélo, support de téléphone;55.00 TND;77.00 TND;29%;;;https://jumia.com.tn/generic-support-de-fixation-pour-motovelo-support-de-telephone-802561.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/5208/1.jpg?7491
Objet décoratifs Velo Doré - 24 X 25 Cm;42.00 TND;65.00 TND;35%;;;https://jumia.com.tn/sans-marque-objet-decoratifs-velo-dore-24-x-25-cm-708360.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/3807/1.jpg?4588
